feature_word,diff,breakout_freq,no_breakout_freq
孩子,-0.543044810443021,0.8061456752655538,1.3491904857085748
听的歌,-0.5374355053128972,0.7018209408194234,1.2392564461323206
悲伤,-0.5346810881604572,0.4647192716236722,0.9994003597841294
对方,-0.5324366078380287,0.23710166919575115,0.7695382770337797
循环,0.5288594673241577,1.6881638846737481,1.1593044173495903
高中,-0.5272405600645683,1.441578148710167,1.9688187087747353
回复,-0.5265220988802773,0.31297420333839154,0.8394963022186688
嵩哥,0.5260083706983701,0.6259484066767831,0.09994003597841296
翻唱,-0.5224501869439793,2.09597875569044,2.618428942634419
古风,-0.5221374004125597,0.417298937784522,0.9394363381970817
rapper,0.5198891287382351,0.7397572078907435,0.21986807915250847
难受,-0.5187725756048648,0.5405918057663126,1.0593643813711775
品味,-0.5137736781299961,0.07587253414264036,0.5896462122726364
中考,-0.5096979748418021,0.9294385432473444,1.4391365180891467
放弃,-0.5029721165783078,2.10546282245827,2.6084349390365777
情绪,-0.49582541825435844,0.11380880121396056,0.609634219468319
速度,0.49449654941481247,0.6544006069802732,0.15990405756546072
微博来,0.4931714719271623,0.4931714719271623,0.0
生快,0.49215159826713983,0.5121396054628224,0.01998800719568259
