,center_text,b_size
1059,情人节,224
1060,情人节,526
1061,情人节,684
1062,情人节,238
1063,情人节,269
1064,情人节,206
1065,情人节,494
1066,情人节,474
1067,情人节,793
1068,情人节,272
1069,情人节,230
1070,情人节,213
1071,情人节,1209
1072,情人节,1084
1073,情人节,313
1074,情人节,3718
1075,情人节,2138
1076,情人节,493
1077,情人节,255
1078,情人节,218
1079,情人节,455
1080,情人节,240
1081,情人节,207
1082,情人节,511
1083,情人节,937
1084,情人节,220
1085,情人节,1004
1086,情人节,229
1087,情人节,217
1088,情人节,281
1089,情人节,265
1090,情人节,588
1091,情人节,525
1092,情人节,255
1093,情人节,263
1094,情人节,424
1095,情人节,1137
1096,情人节,1204
1097,情人节,769
1098,情人节,1427
1099,情人节,622
1100,情人节,1245
1101,情人节,301
1102,情人节,486
1103,情人节,242
1104,情人节,209
1105,情人节,242
1106,情人节,372
1107,情人节,316
1108,情人节,418
1109,情人节,376
1110,情人节,436
1111,情人节,249
1112,情人节,632
1113,情人节,210
1114,情人节,217
1115,情人节,1642
1116,情人节,4108
1117,情人节,5281
1118,情人节,7087
1119,情人节,293
1120,情人节,459
1121,情人节,225
1122,情人节,226
1123,情人节,405
1124,情人节,348
1125,情人节,246
1126,情人节,355
1127,情人节,1093
1128,情人节,1795
1129,情人节,2268
1130,情人节,2782
1131,情人节,699
1132,情人节,283
1133,情人节,276
1134,情人节,580
1135,情人节,231
1136,情人节,245
1137,情人节,221
1138,情人节,286
1139,情人节,268
1140,情人节,220
1141,情人节,1172
1142,情人节,214
1143,情人节,300
1144,情人节,597
1145,情人节,945
1146,情人节,263
1147,情人节,232
1148,情人节,508
1149,情人节,422
1150,情人节,376
1151,情人节,211
1152,情人节,278
1153,情人节,369
1154,情人节,232
1155,情人节,268
1156,情人节,763
1157,情人节,629
1158,情人节,240
1159,情人节,238
1160,情人节,260
1161,情人节,424
1162,情人节,1721
1163,情人节,370
1164,情人节,765
1165,情人节,559
1166,情人节,365
1167,情人节,280
1168,情人节,829
1169,情人节,231
1170,情人节,249
1171,情人节,349
1172,情人节,206
1173,情人节,380
1174,情人节,208
1175,情人节,382
1176,情人节,299
1177,情人节,525
1178,情人节,580
1179,情人节,875
1180,情人节,437
1181,情人节,255
1182,情人节,558
1183,情人节,219
1184,情人节,285
1185,情人节,396
1186,情人节,210
1187,情人节,235
1188,情人节,248
1189,情人节,1332
1190,情人节,310
1191,情人节,246
1192,情人节,242
1193,情人节,289
1194,情人节,287
1195,情人节,514
1196,情人节,297
1197,情人节,486
1198,情人节,249
1199,情人节,404
1200,情人节,238
1201,情人节,283
1202,情人节,212
1203,情人节,244
1204,情人节,233
1205,情人节,235
1206,情人节,523
1207,情人节,206
1208,情人节,225
1209,情人节,241
1210,情人节,491
1211,情人节,223
1212,情人节,240
1213,情人节,1324
1214,情人节,764
1215,情人节,215
1216,情人节,1289
1217,情人节,2121
1218,情人节,374
1219,情人节,366
1220,情人节,1273
1221,情人节,250
1222,情人节,210
1223,原唱,870
1224,原唱,325
1225,原唱,316
1226,原唱,539
1227,原唱,648
1228,原唱,311
1229,原唱,241
1230,原唱,280
1231,原唱,830
1232,原唱,371
1233,原唱,210
1234,原唱,214
1235,原唱,742
1236,原唱,207
1237,原唱,427
1238,原唱,377
1239,原唱,468
1240,原唱,332
1241,原唱,248
1242,原唱,597
1243,原唱,294
1244,原唱,254
1245,原唱,415
1246,原唱,415
1247,原唱,313
1248,原唱,289
1249,原唱,209
1250,原唱,243
1251,原唱,460
1252,原唱,500
1253,原唱,234
1254,原唱,229
1255,原唱,366
1256,原唱,254
1257,原唱,258
1258,原唱,208
1259,原唱,221
1260,原唱,258
1261,原唱,310
1262,原唱,258
1263,原唱,256
1264,原唱,229
1265,原唱,817
1266,原唱,208
1267,原唱,215
1268,原唱,256
1269,原唱,227
1270,原唱,311
1271,原唱,617
1272,原唱,783
1273,原唱,265
1274,原唱,250
1275,原唱,244
1276,原唱,231
1277,原唱,216
1278,原唱,238
1279,原唱,221
1280,原唱,1365
1281,原唱,1506
1282,原唱,912
1283,原唱,325
1284,原唱,209
1285,原唱,243
1286,原唱,2239
1287,原唱,320
1288,原唱,821
1289,原唱,266
1290,原唱,591
1291,原唱,286
1292,原唱,222
1293,原唱,307
1294,原唱,200
1295,原唱,313
1296,原唱,263
1297,原唱,683
1298,原唱,792
1299,原唱,238
1300,原唱,236
1301,原唱,277
1302,原唱,667
1303,原唱,778
1304,原唱,483
1305,原唱,279
1306,原唱,234
1307,原唱,201
1308,原唱,204
1309,原唱,323
1310,原唱,257
1311,原唱,285
1312,原唱,219
1313,原唱,342
1314,原唱,336
1315,原唱,377
1316,原唱,311
1317,原唱,618
1318,原唱,1592
1319,原唱,369
1320,原唱,336
1321,原唱,806
1322,原唱,860
1323,原唱,244
1324,原唱,274
1325,原唱,419
1326,原唱,246
1327,原唱,216
1328,原唱,231
1329,原唱,512
1330,原唱,475
1331,原唱,339
1332,原唱,300
1333,原唱,276
1334,原唱,301
1335,原唱,262
1336,原唱,282
1337,原唱,395
1338,原唱,488
1339,原唱,478
1340,原唱,663
1341,原唱,836
1342,原唱,730
1343,原唱,419
1344,原唱,334
1345,原唱,409
1346,原唱,442
1347,原唱,408
1348,原唱,260
1349,原唱,214
1350,原唱,222
1351,原唱,282
1352,原唱,1043
1353,原唱,694
1354,原唱,219
1355,原唱,245
1356,原唱,901
1357,原唱,247
1358,原唱,210
1359,原唱,410
1360,原唱,643
1361,原唱,509
1362,原唱,315
1363,原唱,731
1364,原唱,234
1365,原唱,484
1366,原唱,681
1367,原唱,589
1368,原唱,3017
1369,原唱,300
1370,原唱,283
1371,原唱,283
1372,原唱,267
1373,原唱,267
1374,原唱,205
1375,原唱,231
1376,原唱,233
1377,原唱,230
1378,原唱,381
1379,原唱,451
1380,原唱,257
1381,原唱,200
1382,原唱,230
