['1321606911-0', 7, ['好听', '喜欢', '加油', '错过', '分手', '时间', '歌词', '听到', '支持', '作者']]
['1322041120-0', 7, ['喜欢', '宝藏', '加油', '发现', '高考', '歌曲', '好听', '评论', '某音', '孤独']]
['1325350636-0', 7, ['好听', '喜欢', '声音', '发现', '世界', '开口', '封面', '评论', '宝藏', '少年']]
['1325449674-0', 7, ['晚安', '喜欢', '推荐', '好听', '朋友', '南人', '名字', '好好', '听歌', '宝藏']]
['1325473464-0', 7, ['好听', '喜欢', '牛奶', 'cool', '评论', '打卡', '雨天', '声音', '下雨', '开口']]
['1331136732-0', 7, ['喜欢', '不错', '好听', '歌手', '努力', '期待', '音乐', '加油', '优秀', '晚安']]
['1333159922-0', 7, ['教主', '好听', '前排', '评论', '专辑', '打卡', '牛逼', '睡觉', '好好', '留名']]
['1333160781-0', 7, ['教主', '好听', '加油', '前排', '喜欢', '音乐', '版权', '网易云', '晚安', '评论']]
['1334077673-0', 7, ['假象', '好听', '前排', '骆驼', '沙漠', '喜欢', '加油', '不错', '支持', '音乐']]
['1336855296-0', 7, ['好听', '抖音', '喜欢', '日推', '好好', '加油', '不错', '评论', '后知后觉', '单曲循环']]
['1343311848-0', 7, ['好听', '甜甜', '喜欢', '美味', '评论', '姜鹏', '加油', '声音', '超级', '好好']]
['1344154357-0', 7, ['喜欢', '好听', '加油', '打卡', '日推', '评论', '不知不觉', '好好', '耳朵', '后知后觉']]
['1344658527-0', 7, ['好听', '喜欢', '评论', '加油', '好好', '日推', '不知不觉', '打卡', '声音', '后知后觉']]
['1344765120-0', 7, ['好听', '喜欢', '刘炫廷', '声音', '好好', '恋爱', '开口', '宝藏', '月亮', '听到']]
['1344878089-0', 7, ['君君', '好听', '喜欢', '江湖', '声音', '等到', '完整版', '加油', '评论', '支持']]
['1347227968-0', 7, ['好听', '宝藏', '喜欢', '封面', '发现', '歌曲', '温柔', '声音', '火钳刘明', '世界']]
['1348624633-0', 7, ['好听', '喜欢', '日推', '加油', '好好', '评论', '不错', '打卡', '后知后觉', '节奏']]
['1351242673-0', 7, ['好听', '喜欢', '电音', '加油', '前奏', '声音', '单曲循环', '好好', '循环', '不错']]
['1351277052-0', 7, ['喜欢', '好听', '乖乖', '加油', '评论', '好好', '打卡', '日推', '不错', '栗先达']]
['1351937003-0', 7, ['魂总', '好听', '喜欢', '前排', '表白', '姐姐', '吹爆', '呜呜', '打卡', '声音']]
['1352004075-0', 7, ['好听', '喜欢', '好好', '生活', '支持', '声音', '变更', '感动', '加油', '想太多']]
['1353473035-0', 7, ['好听', 'ab', '喜欢', '声音', '呜呜', '宝藏', '男孩', '前排', '条龙', '好好']]
['1353842831-0', 7, ['好听', '喜欢', '古风', '不错', '故事', '加油', '歌词', '歌曲', '音乐', '爱情']]
['1354333551-0', 7, ['老大', '好听', '说唱', '等到', '牛逼', '加油', '喜欢', '前排', '打卡', '大哥']]
['1355169880-0', 7, ['喜欢', '宝藏', '温柔', '好听', '发现', '谢谢', '评论', '加油', '歌曲', 'ins']]
